v,vw,o,c,h,l,t,n,Symbol
119605127.0,233.6043,234.45,230.76,236.85,227.76,1729396800000,1743438,AAPL
358320463.0,230.2414,224.5,235.0,237.49,221.33,1728187200000,5563002,AAPL
411269719.0,227.1824,227.34,226.8,233.0,223.02,1726977600000,5835500,AAPL
737776128.0,223.873,220.82,228.2,233.09,213.92,1725768000000,7473637,AAPL
374000504.0,225.6062,226.76,220.82,232.92,217.48,1724558400000,5682718,AAPL
385547097.0,223.9063,216.07,226.84,228.34,215.6,1723348800000,5630089,AAPL
623287104.0,214.677,216.96,216.24,225.6,196.0,1722139200000,8409472,AAPL
500071273.0,225.3807,236.48,217.96,237.23,214.62,1720929600000,7133430,AAPL
492928932.0,225.2106,212.09,230.54,233.08,211.92,1719720000000,6627665,AAPL
784040895.0,211.6307,213.37,210.62,218.95,206.59,1718510400000,7522187,AAPL
867967138.0,204.6838,192.9,212.49,220.2,192.15,1717300800000,9384731,AAPL
425430077.0,190.8873,189.325,192.25,193.0,186.625,1716091200000,5081248,AAPL
568262566.0,185.5572,182.354,189.87,191.095,180.42,1714881600000,6332861,AAPL
665050835.0,174.1336,165.515,183.38,187.0,164.77,1713672000000,7439325,AAPL
619544527.0,170.8557,169.03,165.0,178.36,164.075,1712462400000,7115636,AAPL
476629240.0,170.4982,170.565,169.58,173.6,168.2302,1711252800000,5759311,AAPL
728680203.0,173.292,172.94,172.28,178.67,170.06,1710046800000,7858708,AAPL
747070105.0,175.6823,182.24,170.73,183.9225,168.49,1708837200000,8528883,AAPL
460398034.0,183.4727,188.415,182.52,188.67,180.0,1707627600000,5674424,AAPL
578564779.0,187.4668,192.01,188.85,192.2,179.25,1706418000000,6897343,AAPL
514532808.0,190.3082,182.16,192.42,196.38,180.3,1705208400000,5856414,AAPL
512414542.0,184.1946,187.15,185.92,188.44,180.17,1703998800000,5883938,AAPL
386069883.0,194.4856,196.09,192.53,197.68,191.09,1702789200000,4731319,AAPL
630135647.0,194.969,189.98,197.57,199.62,187.4511,1701579600000,6005388,AAPL
364628805.0,190.4063,189.89,191.24,192.93,188.19,1700370000000,4266705,AAPL
566016535.0,184.864,176.38,189.69,190.96,176.21,1699156800000,5865647,AAPL
595977541.0,171.9427,170.91,176.65,177.78,165.67,1697947200000,6639590,AAPL
529978240.0,177.5904,176.81,172.88,182.34,172.64,1696737600000,5620697,AAPL
546350322.0,172.8806,174.2,177.49,177.99,167.62,1695528000000,5938038,AAPL
699801186.0,176.315,180.07,174.79,180.3,173.58,1694318400000,6959361,AAPL
568601706.0,183.1299,180.09,178.18,189.98,173.54,1693108800000,6278573,AAPL
506484555.0,176.993,177.97,178.61,181.55,171.96,1691899200000,5684181,AAPL
633595560.0,184.0933,196.06,177.79,196.73,176.55,1690689600000,7494060,AAPL
535592778.0,194.0502,191.9,195.83,198.23,191.23,1689480000000,5707581,AAPL
420522160.0,190.2426,193.78,190.69,193.88,186.6,1688270400000,5109866,AAPL
485125183.0,187.8757,184.41,193.97,194.48,182.5901,1687060800000,5156388,AAPL
681261784.0,182.3503,182.63,184.92,186.99,177.32,1685851200000,6864523,AAPL
535239987.0,176.1966,173.98,180.95,181.78,170.52,1684641600000,5180492,AAPL
508351477.0,173.1708,172.48,175.16,176.39,170.4201,1683432000000,5087634,AAPL
616370594.0,168.2706,165.0,173.57,174.3,162.8,1682222400000,5966844,AAPL
512276199.0,164.3269,161.42,165.02,168.16,159.78,1681012800000,5119241,AAPL
467804539.0,162.4348,159.94,164.66,166.84,155.98,1679803200000,4458346,AAPL
757309847.0,155.6811,147.805,160.25,162.14,147.7,1678597200000,6329477,AAPL
587321478.0,150.1021,147.71,148.5,156.3,143.9,1677387600000,4921595,AAPL
529888888.0,151.3726,150.952,146.71,156.33,145.7202,1676178000000,4377072,AAPL
810327861.0,150.0156,144.955,151.01,157.38,141.32,1674968400000,6535010,AAPL
610414110.0,139.6199,134.83,145.93,147.23,133.77,1673758800000,5004668,AAPL
703024911.0,129.2194,130.28,134.76,134.92,124.17,1672549200000,6102384,AAPL
690602566.0,130.9821,135.11,129.93,136.81,125.87,1671339600000,5681201,AAPL
846175075.0,141.6419,147.77,134.51,150.9199,133.73,1670130000000,6173371,AAPL
605095024.0,146.6041,150.16,147.81,151.83,140.355,1668920400000,4699774,AAPL
843675953.0,145.3749,137.11,151.29,153.59,134.5933,1667707200000,6432610,AAPL
1022800422.0,147.7711,147.185,138.38,157.5,134.38,1666497600000,8300631,AAPL
767304967.0,141.3567,138.13,139.56,144.42,137.46,1729396800000,5173656,NVDA
2608885828.0,133.9859,124.99,138.0,140.89,124.95,1728187200000,17306388,NVDA
2662534531.0,120.9248,116.55,124.92,127.665,114.86,1726977600000,16562040,NVDA
2998782753.0,114.6387,104.88,116.0,120.79,103.69,1725768000000,18197927,NVDA
3395106567.0,116.0867,129.57,102.83,131.26,100.95,1724558400000,23771654,NVDA
3130625040.0,122.1738,106.32,129.37,130.75,106.26,1723348800000,19467728,NVDA
4236677347.0,106.4404,113.69,104.75,120.16,90.69,1722139200000,29850377,NVDA
2813009212.0,119.0661,130.56,113.06,131.39,106.3,1720929600000,21756120,NVDA
2305280970.0,128.1654,123.47,129.24,136.15,118.83,1719720000000,16676352,NVDA
3432378060.0,127.3123,132.99,123.54,140.76,118.04,1718510400000,23539915,NVDA
3807345288.0,121.0719,113.621,131.88,132.84,112.003,1717300800000,17347200,NVDA
4727700900.0,105.7863,93.75,109.633,115.8192,93.18,1716091200000,11469971,NVDA
3520265000.0,91.4527,89.39,92.479,95.819,88.231,1714881600000,7237512,NVDA
4588855020.0,83.8206,78.104,88.789,89.281,76.4,1713672000000,9091100,NVDA
4695919320.0,85.495,88.7,76.2,90.739,75.606,1712462400000,9558304,NVDA
4173141880.0,90.8691,93.941,88.008,96.766,85.88,1711252800000,8148577,NVDA
6103377770.0,89.3313,86.429,94.289,94.778,84.166,1710046800000,12271218,NVDA
5739986620.0,85.1374,79.7,87.528,97.4,77.125,1708837200000,11506122,NVDA
5725172860.0,73.5392,72.6,78.817,82.394,66.248,1707627600000,11358394,NVDA
4759719810.0,66.5195,61.232,72.133,72.185,60.7,1706418000000,8056055,NVDA
4138728510.0,59.0453,55.018,61.031,62.849,54.74,1705208400000,6395891,NVDA
4345428540.0,51.6919,49.244,54.71,55.346,47.32,1703998800000,6190467,NVDA
2938126410.0,49.3523,49.4,49.522,50.433,48.098,1702789200000,4209644,NVDA
4100168990.0,47.0761,46.077,48.89,49.404,45.01,1701579600000,5671850,NVDA
4241800280.0,48.3925,49.312,46.765,50.548,46.187,1700370000000,6025411,NVDA
3994819360.0,47.9072,45.2845,49.298,49.96,44.899,1699156800000,5555435,NVDA
4413348500.0,41.9664,41.229,45.005,45.309,39.23,1697947200000,5911501,NVDA
4904789120.0,44.4366,44.842,41.387,47.609,41.078,1696737600000,6702417,NVDA
4182643690.0,43.5205,41.591,45.762,45.789,41.177,1695528000000,5375509,NVDA
4267290540.0,43.8073,46.148,41.61,46.163,40.98,1694318400000,5858269,NVDA
4872103150.0,47.7504,46.482,45.572,49.927,44.888,1693108800000,6582403,NVDA
7224556070.0,45.5252,40.486,46.018,50.266,40.311,1691899200000,9904289,NVDA
3995985390.0,43.9718,46.754,40.855,47.13,40.639,1690689600000,5652862,NVDA
4891928490.0,45.8499,46.289,46.75,47.896,44.04,1689480000000,6161867,NVDA
3563198070.0,43.8444,42.517,45.469,48.088,41.346,1688270400000,4989880,NVDA
4299188320.0,41.9941,42.998,42.302,43.99,40.1,1687060800000,5745587,NVDA
5108117790.0,40.4548,38.909,42.692,43.721,37.356,1685851200000,6870694,NVDA
6749841430.0,37.4387,30.901,39.327,41.938,29.806,1684641600000,9142549,NVDA
4022801440.0,29.6848,28.522,31.264,31.828,28.046,1683432000000,4839589,NVDA
3830656800.0,27.6508,27.013,28.68,29.0584,26.225,1682222400000,4454925,NVDA
3960538160.0,27.1746,26.823,27.119,28.11,26.22,1681012800000,4579443,NVDA
3588577150.0,27.0573,26.837,27.037,28.0,25.85,1679803200000,4261562,NVDA
5652409900.0,25.565,22.752,26.779,27.589,22.297,1678597200000,6221667,NVDA
4612919180.0,23.499,23.67,22.965,24.454,22.432,1677387600000,4998584,NVDA
5080188090.0,22.3405,21.538,23.286,23.888,20.421,1676178000000,5559772,NVDA
5390074960.0,21.1563,19.95,21.265,23.02,18.95,1674968400000,5539089,NVDA
