Age,Gender,City,Account Type,Account Balance,Account Balance After Transaction,Credit Limit,Credit Card Balance
45,Male,Fort Worth,Current,1313.38,2770.99,1737.88,4524.32
47,Female,Louisville,Current,5988.46,7649.45,1799.36,856.7
25,Female,Philadelphia,Current,8277.88,7437.97,6112.96,3242.36
52,Other,Oklahoma City,Savings,7487.21,12396.1,2069.41,4329.17
68,Other,Phoenix,Savings,6993.55,6404.48,2765.3,25.72
52,Male,El Paso,Savings,9295.64,4380.97,8029.18,1331.7
43,Male,Dallas,Current,4005.72,470.82,2996.82,1441.65
47,Male,Memphis,Savings,1458.45,1003.58,4470.78,3450.21
52,Male,Indianapolis,Current,1109.3,340.74,4349.57,3227.18
55,Other,Washington,Current,9554.62,11196.21,4961.44,2765.38
28,Male,San Diego,Savings,5930.75,7239.88,4782.39,4564.25
37,Female,Oklahoma City,Current,8126.85,12992.76,5697.31,4935.07
63,Female,Columbus,Savings,5402.04,8472.62,5776.68,339.59
48,Female,Colorado Springs,Savings,4045.09,4426.3,3018.46,4357.95
51,Other,Atlanta,Savings,2082.67,-549.1,2345.93,1066.61
29,Male,Fresno,Savings,8578.44,13065.17,2673.1,770.74
65,Female,Austin,Current,728.8,2815.55,2838.82,3905.1
45,Female,Omaha,Savings,9012.31,5678.32,8388.99,3165.21
20,Other,Tucson,Current,2129.63,-1738.6,9371.27,299.03
65,Other,Milwaukee,Savings,194.36,-738.93,7650.68,1076.46
59,Other,Fresno,Savings,1128.58,-3150.37,1374.25,3559.98
69,Female,San Antonio,Current,8846.74,11096.36,6394.78,53.5
22,Other,El Paso,Savings,829.7,536.82,8026.74,1424.94
30,Female,San Antonio,Savings,3616.88,8012.61,5693.7,2256.35
29,Male,Boston,Savings,2578.13,5404.25,1720.05,4563.01
18,Female,Chicago,Current,464.86,1464.49,5608.25,4251.87
69,Male,Kansas City,Savings,5361.52,3767.44,6736.21,1084.56
60,Female,Oklahoma City,Savings,9983.5,12834.67,6126.15,1530.42
36,Male,Fresno,Savings,8544.77,6667.64,7494.66,2591.92
46,Female,Baltimore,Current,1772.04,597.46,3404.77,2181.1
64,Female,San Francisco,Current,8854.73,11256.49,7278.03,3846.45
67,Female,Jacksonville,Current,4572.76,5506.14,3997.31,4756.24
65,Female,Sacramento,Current,2805.18,1570.74,7417.07,3107.77
56,Other,Oklahoma City,Savings,6439.03,10574.43,5395.87,560.7
59,Female,Seattle,Current,2245.28,3395.7,8046.16,2208.16
42,Female,Portland,Current,8808.55,12288.43,5522.52,2735.81
33,Other,Mesa,Current,6279.42,5019.58,3589.1,4775.86
34,Other,El Paso,Current,1446.62,2516.49,9908.09,1725.59
45,Other,Albuquerque,Savings,5749.42,4486.15,3179.12,3347.7
56,Other,Jacksonville,Savings,5152.67,2805.86,4623.6,56.38
60,Other,Austin,Current,4767.41,4027.47,7976.79,2183.5
66,Other,Kansas City,Current,3713.26,3171.26,5660.53,202.41
22,Other,Philadelphia,Current,4794.63,1008.49,7147.73,1185.11
18,Other,Fresno,Current,5901.51,5775.23,5391.71,2346.46
20,Other,Mesa,Savings,7362.34,5428.77,6494.58,2906.73
65,Other,Atlanta,Savings,9186.97,7200.76,5610.23,4383.34
41,Other,San Francisco,Current,539.4,-3926.88,9925.21,924.02
46,Male,Omaha,Current,5736.51,9611.22,2867.41,1543.14
32,Female,Omaha,Current,7544.54,10102.82,9023.88,2786.09
21,Female,Fort Worth,Current,1243.99,3648.26,5180.67,1063.32
61,Other,Nashville,Current,9123.83,6291.48,1226.63,4537.6
18,Other,Omaha,Current,2525.4,4320.96,9801.79,4369.68
66,Male,Denver,Current,8349.99,4843.11,8825.31,4434.35
32,Other,Chicago,Savings,6653.87,3220.37,1662.19,3601.42
41,Male,Seattle,Savings,5639.51,2761.98,4451.64,4981.24
69,Female,Denver,Savings,8705.5,8407.61,8771.57,4130.99
48,Female,Philadelphia,Current,9695.42,10338.34,5559.78,2479.94
37,Other,Indianapolis,Savings,9971.6,9765.61,9315.29,3693.78
27,Male,San Diego,Current,6864.48,3269.09,6365.93,479.28
28,Male,Seattle,Current,3457.4,1064.18,8287.3,4590.25
35,Female,Colorado Springs,Current,8759.52,13534.88,5051.49,4920.85
51,Female,Fort Worth,Savings,6578.05,1815.93,1834.47,4285.04
45,Male,Jacksonville,Savings,3300.96,-691.91,3042.97,177.97
55,Male,San Antonio,Current,9330.41,7109.6,2220.55,826.04
33,Female,New York,Savings,7501.74,5913.15,8216.62,527.51
41,Male,Mesa,Savings,4583.0,5595.86,9313.17,2128.26
56,Female,Nashville,Savings,4599.46,5769.61,3075.82,190.61
68,Male,Atlanta,Savings,9959.69,14911.38,3895.3,4716.75
29,Other,Las Vegas,Current,3799.72,6456.16,7657.6,2925.25
67,Female,Boston,Current,1031.4,1102.54,4900.65,2837.64
59,Male,San Antonio,Savings,5431.76,5200.74,8291.94,2230.04
24,Female,San Francisco,Savings,8860.06,6560.82,3866.07,1689.29
53,Male,Memphis,Savings,5886.75,3663.78,5748.09,2421.45
34,Other,Baltimore,Current,7951.57,9985.31,8505.91,2587.65
66,Other,San Antonio,Savings,643.16,4762.94,4149.29,3478.89
21,Other,Tucson,Current,6766.61,3247.86,6771.04,826.25
54,Female,San Antonio,Savings,884.02,1430.03,6816.02,2876.14
50,Other,Las Vegas,Savings,5607.93,3788.16,4167.36,2895.65
36,Female,Austin,Current,5027.9,2040.47,7692.29,1834.95
43,Other,Dallas,Current,9461.48,11380.1,5756.9,4821.45
28,Female,Fort Worth,Current,1411.4,361.96,6346.33,3725.51
48,Other,Sacramento,Current,193.96,-2950.02,4514.98,3553.84
18,Male,Houston,Savings,1459.81,4475.03,1809.62,4365.64
57,Male,Mesa,Current,1789.99,-3083.31,7285.15,1694.55
53,Female,Louisville,Current,2584.02,-225.72,4087.24,1063.35
46,Other,San Jose,Current,8169.38,3796.64,6476.25,2191.43
