Customer ID,Age,Gender,City,Account Type,Account Balance,Account Balance After Transaction,Credit Limit,Credit Card Balance
1,45,Male,Fort Worth,Current,1313.38,2770.99,1737.88,4524.32
2,47,Female,Louisville,Current,5988.46,7649.45,1799.36,856.7
3,25,Female,Philadelphia,Current,8277.88,7437.97,6112.96,3242.36
4,52,Other,Oklahoma City,Savings,7487.21,12396.1,2069.41,4329.17
5,68,Other,Phoenix,Savings,6993.55,6404.48,2765.3,25.72
6,52,Male,El Paso,Savings,9295.64,4380.97,8029.18,1331.7
7,43,Male,Dallas,Current,4005.72,470.82,2996.82,1441.65
8,47,Male,Memphis,Savings,1458.45,1003.58,4470.78,3450.21
9,52,Male,Indianapolis,Current,1109.3,340.74,4349.57,3227.18
10,55,Other,Washington,Current,9554.62,11196.21,4961.44,2765.38
11,28,Male,San Diego,Savings,5930.75,7239.88,4782.39,4564.25
12,37,Female,Oklahoma City,Current,8126.85,12992.76,5697.31,4935.07
13,63,Female,Columbus,Savings,5402.04,8472.62,5776.68,339.59
14,48,Female,Colorado Springs,Savings,4045.09,4426.3,3018.46,4357.95
15,51,Other,Atlanta,Savings,2082.67,-549.1,2345.93,1066.61
16,29,Male,Fresno,Savings,8578.44,13065.17,2673.1,770.74
17,65,Female,Austin,Current,728.8,2815.55,2838.82,3905.1
18,45,Female,Omaha,Savings,9012.31,5678.32,8388.99,3165.21
19,20,Other,Tucson,Current,2129.63,-1738.6,9371.27,299.03
20,65,Other,Milwaukee,Savings,194.36,-738.93,7650.68,1076.46
21,59,Other,Fresno,Savings,1128.58,-3150.37,1374.25,3559.98
22,69,Female,San Antonio,Current,8846.74,11096.36,6394.78,53.5
23,22,Other,El Paso,Savings,829.7,536.82,8026.74,1424.94
24,30,Female,San Antonio,Savings,3616.88,8012.61,5693.7,2256.35
25,29,Male,Boston,Savings,2578.13,5404.25,1720.05,4563.01
26,18,Female,Chicago,Current,464.86,1464.49,5608.25,4251.87
27,69,Male,Kansas City,Savings,5361.52,3767.44,6736.21,1084.56
28,60,Female,Oklahoma City,Savings,9983.5,12834.67,6126.15,1530.42
29,36,Male,Fresno,Savings,8544.77,6667.64,7494.66,2591.92
30,46,Female,Baltimore,Current,1772.04,597.46,3404.77,2181.1
31,64,Female,San Francisco,Current,8854.73,11256.49,7278.03,3846.45
32,67,Female,Jacksonville,Current,4572.76,5506.14,3997.31,4756.24
33,65,Female,Sacramento,Current,2805.18,1570.74,7417.07,3107.77
34,56,Other,Oklahoma City,Savings,6439.03,10574.43,5395.87,560.7
35,59,Female,Seattle,Current,2245.28,3395.7,8046.16,2208.16
36,42,Female,Portland,Current,8808.55,12288.43,5522.52,2735.81
37,33,Other,Mesa,Current,6279.42,5019.58,3589.1,4775.86
38,34,Other,El Paso,Current,1446.62,2516.49,9908.09,1725.59
39,45,Other,Albuquerque,Savings,5749.42,4486.15,3179.12,3347.7
40,56,Other,Jacksonville,Savings,5152.67,2805.86,4623.6,56.38
41,60,Other,Austin,Current,4767.41,4027.47,7976.79,2183.5
42,66,Other,Kansas City,Current,3713.26,3171.26,5660.53,202.41
43,22,Other,Philadelphia,Current,4794.63,1008.49,7147.73,1185.11
44,18,Other,Fresno,Current,5901.51,5775.23,5391.71,2346.46
45,20,Other,Mesa,Savings,7362.34,5428.77,6494.58,2906.73
46,65,Other,Atlanta,Savings,9186.97,7200.76,5610.23,4383.34
47,41,Other,San Francisco,Current,539.4,-3926.88,9925.21,924.02
48,46,Male,Omaha,Current,5736.51,9611.22,2867.41,1543.14
49,32,Female,Omaha,Current,7544.54,10102.82,9023.88,2786.09
50,21,Female,Fort Worth,Current,1243.99,3648.26,5180.67,1063.32
51,61,Other,Nashville,Current,9123.83,6291.48,1226.63,4537.6
52,18,Other,Omaha,Current,2525.4,4320.96,9801.79,4369.68
53,66,Male,Denver,Current,8349.99,4843.11,8825.31,4434.35
54,32,Other,Chicago,Savings,6653.87,3220.37,1662.19,3601.42
55,41,Male,Seattle,Savings,5639.51,2761.98,4451.64,4981.24
56,69,Female,Denver,Savings,8705.5,8407.61,8771.57,4130.99
57,48,Female,Philadelphia,Current,9695.42,10338.34,5559.78,2479.94
58,37,Other,Indianapolis,Savings,9971.6,9765.61,9315.29,3693.78
59,27,Male,San Diego,Current,6864.48,3269.09,6365.93,479.28
60,28,Male,Seattle,Current,3457.4,1064.18,8287.3,4590.25
61,35,Female,Colorado Springs,Current,8759.52,13534.88,5051.49,4920.85
62,51,Female,Fort Worth,Savings,6578.05,1815.93,1834.47,4285.04
63,45,Male,Jacksonville,Savings,3300.96,-691.91,3042.97,177.97
64,55,Male,San Antonio,Current,9330.41,7109.6,2220.55,826.04
65,33,Female,New York,Savings,7501.74,5913.15,8216.62,527.51
66,41,Male,Mesa,Savings,4583.0,5595.86,9313.17,2128.26
67,56,Female,Nashville,Savings,4599.46,5769.61,3075.82,190.61
68,68,Male,Atlanta,Savings,9959.69,14911.38,3895.3,4716.75
69,29,Other,Las Vegas,Current,3799.72,6456.16,7657.6,2925.25
70,67,Female,Boston,Current,1031.4,1102.54,4900.65,2837.64
71,59,Male,San Antonio,Savings,5431.76,5200.74,8291.94,2230.04
72,24,Female,San Francisco,Savings,8860.06,6560.82,3866.07,1689.29
73,53,Male,Memphis,Savings,5886.75,3663.78,5748.09,2421.45
74,34,Other,Baltimore,Current,7951.57,9985.31,8505.91,2587.65
75,66,Other,San Antonio,Savings,643.16,4762.94,4149.29,3478.89
76,21,Other,Tucson,Current,6766.61,3247.86,6771.04,826.25
77,54,Female,San Antonio,Savings,884.02,1430.03,6816.02,2876.14
78,50,Other,Las Vegas,Savings,5607.93,3788.16,4167.36,2895.65
79,36,Female,Austin,Current,5027.9,2040.47,7692.29,1834.95
80,43,Other,Dallas,Current,9461.48,11380.1,5756.9,4821.45
81,28,Female,Fort Worth,Current,1411.4,361.96,6346.33,3725.51
82,48,Other,Sacramento,Current,193.96,-2950.02,4514.98,3553.84
83,18,Male,Houston,Savings,1459.81,4475.03,1809.62,4365.64
84,57,Male,Mesa,Current,1789.99,-3083.31,7285.15,1694.55
85,53,Female,Louisville,Current,2584.02,-225.72,4087.24,1063.35
86,46,Other,San Jose,Current,8169.38,3796.64,6476.25,2191.43
87,42,Other,El Paso,Savings,3831.12,8577.61,9170.78,2987.74
88,64,Male,Denver,Current,8423.5,10603.07,8514.73,2788.0
89,66,Other,Atlanta,Savings,2792.15,3066.09,6663.31,1102.03
90,35,Other,Colorado Springs,Savings,8619.36,7893.32,3047.11,1343.47
91,20,Female,Las Vegas,Current,180.1,2704.91,5646.98,4628.69
92,35,Male,Indianapolis,Savings,9351.9,4886.04,4373.69,405.51
93,24,Other,Tucson,Current,7485.89,10760.01,6319.51,2520.25
94,45,Other,Fort Worth,Savings,4186.03,3170.64,7582.01,2373.34
95,34,Female,Fresno,Savings,5815.62,9323.83,7536.36,1916.85
96,42,Female,San Antonio,Current,9336.87,13809.02,1512.66,3918.05
97,35,Female,Austin,Current,5867.35,5706.52,4355.01,4612.91
98,69,Female,Milwaukee,Savings,2362.83,3584.46,4510.45,4986.37
99,57,Other,Memphis,Current,5771.45,6545.82,2685.39,613.7
100,60,Other,San Jose,Current,8727.33,12650.0,5380.02,214.28
101,20,Other,Milwaukee,Savings,9875.75,14334.22,3511.78,1376.5
102,42,Female,Los Angeles,Savings,5882.42,3105.18,4126.54,3412.51
103,24,Other,Colorado Springs,Savings,1640.89,-2601.64,6153.34,2022.65
104,64,Male,Charlotte,Current,7740.35,4452.23,8627.02,2329.53
105,27,Male,Austin,Savings,9969.42,6682.49,4854.94,4997.11
106,61,Other,Fresno,Current,4789.0,1886.26,5861.01,2456.68
107,61,Female,Colorado Springs,Savings,3898.95,3639.36,8157.08,4576.73
108,68,Male,Houston,Current,5569.76,10255.28,4867.49,2058.35
109,36,Other,Austin,Current,1731.19,3516.49,4475.64,2200.76
110,32,Male,Memphis,Savings,9715.71,5700.85,6993.33,3857.36
111,38,Male,Los Angeles,Savings,8399.51,12451.33,3437.91,4507.25
112,38,Male,Indianapolis,Current,1218.61,6047.76,1256.36,4064.69
113,54,Male,Colorado Springs,Savings,9456.31,11096.54,2209.7,2357.23
114,45,Other,San Jose,Savings,9433.91,4446.89,3479.44,3490.18
115,62,Male,Atlanta,Current,3231.91,1722.04,8283.82,1318.87
116,49,Other,San Francisco,Current,6229.51,8491.85,2894.62,385.92
117,58,Male,Nashville,Savings,1196.47,-2337.72,6586.05,790.09
118,44,Male,Denver,Savings,933.49,1716.88,3783.95,120.35
119,40,Male,San Antonio,Savings,5067.77,6406.97,1529.45,2222.57
120,27,Other,Kansas City,Savings,591.81,-3051.48,8489.28,3278.29
121,57,Male,San Diego,Savings,8761.43,13633.61,9401.57,167.13
122,58,Male,San Jose,Current,9288.14,5621.47,2496.41,259.08
123,23,Female,Atlanta,Savings,766.33,-3546.54,5587.79,2604.08
124,41,Male,Los Angeles,Current,568.12,765.18,3590.78,4697.89
125,35,Female,Austin,Savings,2292.04,5181.4,5948.94,706.91
126,27,Other,Las Vegas,Savings,9306.59,4735.27,7321.96,3392.53
127,32,Male,Philadelphia,Savings,7713.24,4298.08,9860.94,3272.27
128,62,Male,Detroit,Current,6797.33,10182.88,4135.25,1529.74
129,60,Female,San Antonio,Savings,7785.84,6762.67,3290.08,379.47
130,51,Female,Colorado Springs,Current,2074.82,6381.91,7014.85,3045.93
131,25,Male,Denver,Current,2640.22,6966.8,8587.19,2216.28
132,67,Other,Philadelphia,Savings,3244.52,170.62,1251.09,1559.79
133,52,Female,Memphis,Savings,6090.15,8228.97,1390.08,3900.56
134,44,Male,Colorado Springs,Savings,6121.38,1998.26,6231.45,2024.65
135,42,Female,Los Angeles,Savings,2165.22,4495.55,2174.01,3085.42
136,20,Other,Denver,Current,4423.6,8538.45,6662.18,1281.2
137,38,Female,Houston,Current,6931.2,9360.93,6093.49,391.53
138,56,Male,Philadelphia,Savings,3165.23,6068.4,8212.72,775.69
139,49,Female,Atlanta,Current,847.22,4589.85,8175.18,1838.14
140,67,Other,Louisville,Savings,2054.16,721.84,8492.02,3669.04
141,38,Male,Baltimore,Current,1730.88,2972.64,9408.31,2928.2
142,26,Male,San Antonio,Savings,6356.23,9698.76,6312.22,1881.02
143,67,Male,Dallas,Savings,778.63,-3991.4,2303.07,2371.43
144,18,Male,Boston,Current,8859.02,6623.31,9231.54,2908.31
145,21,Other,Tucson,Current,935.43,5427.46,9968.85,846.06
146,21,Male,New York,Current,6019.31,3423.56,1346.18,1359.01
147,66,Other,Philadelphia,Savings,9302.37,14172.29,6418.03,1382.53
148,43,Other,Seattle,Current,717.99,-3244.33,4367.88,515.22
149,51,Female,Jacksonville,Savings,3892.74,-406.45,3733.76,998.89
150,44,Female,Louisville,Savings,3346.66,6747.88,7923.47,2796.43
151,32,Male,Austin,Savings,3507.67,-836.11,3712.46,1131.56
152,62,Male,Tucson,Savings,6043.08,3075.02,2347.08,2909.99
153,49,Other,New York,Current,2694.82,5535.83,3183.69,120.08
154,58,Female,San Jose,Savings,370.5,-3999.32,5836.36,869.04
155,24,Male,Atlanta,Savings,9626.52,9541.34,3287.64,3057.75
156,61,Male,Oklahoma City,Savings,7512.88,5113.77,4145.51,2922.09
157,61,Other,New York,Current,1437.76,-2913.91,6173.4,1378.44
158,31,Female,Chicago,Current,4606.05,5594.84,7228.7,3116.28
159,40,Male,Seattle,Current,720.95,-4069.52,1630.36,829.57
160,64,Male,Columbus,Savings,375.78,4081.38,4703.32,4087.66
161,18,Male,Milwaukee,Current,570.37,-3244.12,7430.25,1251.65
162,49,Male,Portland,Current,7582.2,4251.47,3950.7,2336.54
163,58,Male,San Francisco,Savings,4504.75,6747.65,7817.04,4736.61
164,43,Male,Memphis,Savings,8459.53,10769.7,4082.07,2888.99
165,65,Female,Mesa,Current,3121.63,-1075.52,7833.65,3761.37
166,26,Other,Atlanta,Current,7775.69,8480.0,9602.15,3727.59
167,33,Other,Detroit,Savings,871.55,-1743.57,5537.35,1906.93
168,48,Other,San Francisco,Current,6387.57,7944.21,5344.8,500.83
169,19,Male,Washington,Savings,3669.96,8591.7,5360.21,1702.76
170,49,Other,Boston,Savings,2839.58,2811.15,9571.27,168.94
171,27,Female,Los Angeles,Savings,8169.58,7841.85,2433.47,1320.95
172,42,Male,Washington,Savings,614.03,5451.3,7662.66,181.43
173,35,Female,Phoenix,Current,9500.36,6776.84,7207.61,2097.76
174,62,Male,Houston,Savings,7876.9,8578.19,6691.97,45.09
175,51,Male,Mesa,Savings,3620.53,1371.81,7654.68,3803.42
176,46,Other,Philadelphia,Current,9914.2,11534.26,3873.79,4815.27
177,62,Female,Nashville,Current,2104.64,6661.57,9352.22,158.31
178,41,Other,San Jose,Current,4083.9,7524.92,9170.27,2889.18
179,20,Male,Atlanta,Savings,8860.31,9521.6,3074.32,1352.26
180,32,Female,Boston,Savings,9968.39,12655.25,5629.23,2618.58
181,20,Female,Detroit,Savings,2467.22,3148.18,3822.26,4715.61
182,48,Male,Colorado Springs,Current,7456.82,10786.32,8116.98,3826.42
183,27,Other,Oklahoma City,Current,3126.72,6765.58,9102.64,3731.6
184,55,Male,Tucson,Savings,7688.08,4872.9,5814.61,1467.03
185,39,Female,Columbus,Savings,1340.31,6170.43,3885.67,3982.37
186,31,Female,Mesa,Savings,3428.08,-1294.15,6808.84,512.42
187,26,Female,San Francisco,Current,842.5,-195.02,2281.89,3537.47
188,35,Male,Nashville,Current,4969.78,4958.14,5579.63,2020.83
189,25,Female,Indianapolis,Savings,7044.86,3727.74,7827.75,2186.18
190,55,Female,Indianapolis,Current,3848.3,6231.75,3365.06,2449.18
191,32,Other,Oklahoma City,Current,6185.7,7865.65,4527.44,3841.22
192,63,Other,Memphis,Current,5733.96,1148.68,6889.0,1557.54
193,32,Female,Louisville,Current,3016.51,-1876.24,9637.01,1617.49
194,69,Other,San Diego,Savings,4919.1,9572.68,1714.43,2601.65
195,23,Male,Las Vegas,Savings,783.29,-1722.68,2400.35,1338.98
196,29,Other,Chicago,Current,4653.14,8172.89,2151.57,2230.58
197,59,Other,Boston,Current,4636.08,5502.23,2985.56,3301.72
198,36,Other,Denver,Savings,384.31,-4370.46,1545.49,4949.28
199,57,Other,Tucson,Current,5187.35,3761.8,4259.28,1309.97
200,22,Male,Los Angeles,Current,7403.17,8374.94,3525.57,1310.76
201,44,Other,Charlotte,Savings,4577.3,4887.49,2783.1,1970.59
202,27,Female,Washington,Current,6495.65,9252.0,3316.81,3295.36
203,60,Other,Jacksonville,Savings,5370.97,10113.8,6791.64,4631.24
204,69,Other,Seattle,Current,7873.27,8559.86,7200.6,4745.12
205,63,Female,Washington,Current,5193.11,5806.05,9356.31,1690.09
206,31,Male,Portland,Current,3382.93,2012.67,2892.66,2086.37
207,51,Female,San Jose,Current,8292.93,11623.25,1909.04,2181.68
208,66,Female,Tucson,Current,769.45,3513.04,1527.5,1744.56
209,32,Female,Phoenix,Current,2965.62,3455.69,5437.87,1577.08
210,46,Female,Detroit,Current,5955.7,3738.62,6813.25,356.96
211,43,Other,San Jose,Current,8574.66,8918.65,3156.94,2725.48
212,44,Other,Portland,Savings,814.2,-3446.8,6991.48,3311.69
213,20,Other,Columbus,Savings,1050.92,1595.41,2686.51,4957.89
214,20,Other,Las Vegas,Savings,2895.61,533.83,3001.84,3095.85
215,52,Male,Chicago,Savings,3511.26,954.05,6978.03,3052.17
216,52,Other,Baltimore,Current,8451.03,5795.7,9590.03,1851.94
217,67,Other,Sacramento,Savings,9593.14,12642.82,9128.25,287.56
